MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
1FK020200-016-432;1FK020200-016-432;3792285M94 FILTRO HIDRAULICO MONTADO;84212990;0;1,65;7,6;0,7442;0,7986;0,844;0,8712
